loss_step,epoch,step,loss_epoch
9.049971580505371,0,9,
8.402580261230469,0,19,
,0,23,8.958671569824219
8.912432670593262,1,29,
8.56797981262207,1,39,
,1,47,8.714404106140137
8.341158866882324,2,49,
7.954952239990234,2,59,
7.453266143798828,2,69,
,2,71,7.85698127746582
6.379265308380127,3,79,
5.48574161529541,3,89,
,3,95,5.947656154632568
9.642823219299316,4,99,
9.855807304382324,4,109,
9.659905433654785,4,119,
,4,119,9.746329307556152
9.505546569824219,5,129,
9.076547622680664,5,139,
,5,143,9.319089889526367
5.143393516540527,6,149,
4.764760971069336,6,159,
,6,167,4.959654331207275
8.478015899658203,7,169,
8.205806732177734,7,179,
8.034526824951172,7,189,
,7,191,8.2423734664917
